iter	Passed	Remaining
402	10482	10326
403	10507	10299
404	10536	10276
405	10564	10251
406	10588	10224
407	10615	10199
408	10641	10172
409	10664	10144
410	10690	10118
411	10715	10091
412	10741	10065
413	10766	10038
414	10791	10011
415	10817	9985
416	10843	9959
417	10868	9932
418	10893	9905
419	10919	9879
420	10942	9851
421	10967	9823
422	10992	9797
423	11017	9770
424	11041	9742
425	11067	9716
426	11096	9692
427	11122	9667
428	11150	9642
429	11175	9615
430	11199	9588
431	11224	9561
432	11251	9536
433	11277	9510
434	11303	9484
435	11328	9457
436	11353	9431
437	11378	9404
438	11404	9378
439	11430	9351
440	11455	9325
441	11481	9299
442	11505	9271
443	11530	9245
444	11554	9217
445	11580	9191
446	11606	9165
447	11632	9139
448	11657	9112
449	11682	9086
450	11708	9060
451	11740	9038
452	11766	9013
453	11792	8987
454	11817	8960
455	11842	8933
456	11866	8906
457	11891	8879
458	11916	8852
459	11940	8825
460	11965	8798
461	11988	8771
462	12013	8744
463	12038	8717
464	12062	8690
465	12088	8664
466	12114	8638
467	12138	8611
468	12163	8584
469	12188	8558
470	12213	8531
471	12239	8505
472	12264	8478
473	12289	8452
474	12316	8426
475	12341	8400
476	12366	8374
477	12390	8346
478	12416	8320
479	12440	8293
480	12465	8266
481	12491	8241
482	12516	8214
483	12542	8188
484	12568	8162
485	12595	8137
486	12618	8110
487	12643	8083
488	12668	8056
489	12693	8030
490	12718	8003
491	12743	7977
492	12769	7951
493	12794	7925
494	12818	7898
495	12844	7872
496	12868	7845
497	12893	7818
498	12917	7792
499	12941	7765
500	12966	7738
501	12990	7711
502	13014	7684
503	13040	7658
504	13065	7632
505	13089	7605
506	13113	7578
507	13138	7552
508	13163	7525
509	13188	7499
510	13214	7473
511	13240	7447
512	13265	7421
513	13292	7396
514	13318	7370
515	13342	7343
516	13366	7316
517	13390	7290
518	13415	7263
519	13438	7236
520	13463	7210
521	13489	7184
522	13512	7156
523	13539	7131
524	13565	7105
525	13590	7079
526	13616	7053
527	13642	7027
528	13667	7001
529	13691	6975
530	13717	6948
531	13742	6922
532	13767	6896
533	13793	6870
534	13818	6844
535	13842	6818
536	13867	6791
537	13893	6765
538	13916	6739
539	13941	6712
540	13964	6685
541	13989	6659
542	14013	6632
543	14039	6606
544	14064	6580
545	14087	6553
546	14114	6528
547	14138	6501
548	14164	6475
549	14189	6449
550	14215	6424
551	14242	6399
