iter	Logloss
0	0.6441843058
1	0.600216168
2	0.5609547106
3	0.524578081
4	0.4943854126
5	0.4680336097
6	0.437247592
7	0.4168016773
8	0.394702206
9	0.3768647714
10	0.3613668381
11	0.3476923391
12	0.3369921717
13	0.3273767622
14	0.3189992736
15	0.3107185858
16	0.3033302047
17	0.2933378545
18	0.2863169604
19	0.2786711029
20	0.2726424254
21	0.2651007015
22	0.2600607001
23	0.2550788223
24	0.2497913734
25	0.2461039944
26	0.241938974
27	0.2381642839
28	0.2341166789
29	0.2314374045
30	0.2286935543
31	0.2265378595
32	0.2246637962
33	0.2209881894
34	0.2182866109
35	0.2153930664
36	0.2124776133
37	0.2108693477
38	0.2084897494
39	0.2058541486
40	0.2038102436
41	0.2011641647
42	0.1992048751
43	0.1974669907
44	0.1958191134
45	0.1939102191
46	0.1923328126
47	0.1904285372
48	0.1881157254
49	0.1867981856
50	0.1853275007
51	0.18380545
52	0.1819474722
53	0.1800937181
54	0.1789798085
55	0.1765913497
56	0.1751131343
57	0.1734373814
58	0.1721448775
59	0.171225486
60	0.1701078201
61	0.1689427244
62	0.1681656405
63	0.1668830575
64	0.1655476888
65	0.1638196175
66	0.162223789
67	0.161199527
68	0.159921581
69	0.1590747092
70	0.1575169288
71	0.1566113224
72	0.1557294938
73	0.154448061
74	0.1534767465
75	0.1521519458
76	0.151009208
77	0.1504320969
78	0.1491916688
79	0.1487031898
80	0.1478143249
81	0.1465948529
82	0.1457686947
83	0.1451567525
84	0.1445148679
85	0.1437725521
86	0.1428019745
87	0.1417794379
88	0.1409799601
89	0.1401466217
90	0.1393702567
91	0.138458872
92	0.1380418703
93	0.1373152446
94	0.1363198198
95	0.1357393298
96	0.1342898347
97	0.133026186
98	0.131948653
99	0.1304897493
100	0.1293350957
101	0.1290097276
102	0.1284760384
103	0.1277934008
104	0.1271511657
105	0.1266778378
106	0.1260838952
107	0.1254488043
108	0.1246755036
109	0.1240806445
110	0.1232529855
111	0.1228649827
112	0.122203418
113	0.1215981887
114	0.1210458169
115	0.120547444
116	0.1198551191
117	0.1189459092
118	0.1182594075
119	0.1175406268
120	0.116627409
121	0.1159733569
122	0.1152038754
123	0.1140546495
124	0.1129945411
125	0.11243055
126	0.1117257342
127	0.111357079
128	0.1109479493
129	0.1102415429
130	0.1096174332
131	0.1090694648
132	0.1087413559
133	0.1081430011
134	0.1075452034
135	0.1070913578
136	0.1063284003
137	0.1057917007
138	0.1053775927
139	0.104654265
140	0.1040789152
141	0.1036640073
142	0.1031732638
143	0.102616974
144	0.1021890449
145	0.1017170559
146	0.1013461451
147	0.1010412569
148	0.1004179381
149	0.1000816875
